层级,环节分类,细分环节,企业名称,股票代码,上市状态,总部所在地,核心产品/技术,估值/市值,备注,数据更新时间
基础层,算力芯片与系统,高性能CPU/GPU,寒武纪,688256.SH,A股上市,北京,思元系列AI训练/推理芯片,约1000亿,国产AI芯片龙头,2025-12-07
基础层,算力芯片与系统,高性能CPU/GPU,英伟达,NVDA,美股上市,美国,GPU、Isaac Sim、Project GR00T,约3万亿美元,全球AI算力龙头,2025-12-07
基础层,算力芯片与系统,专用AI芯片NPU,地平线,9660.HK,港股上市,北京,征程系列车规级AI芯片,约500亿港元,智能驾驶芯片龙头，适配机器人,2025-12-07
基础层,算力芯片与系统,嵌入式边缘模块,中科创达,300496.SZ,A股上市,北京,TurboX智能模组、机器人OS,约300亿,智能操作系统龙头,2025-12-07
基础层,算力芯片与系统,嵌入式边缘模块,瑞芯微,603893.SH,A股上市,福州,RK系列AIoT芯片、NPU处理器,约300亿,边缘AI芯片,2025-12-07
基础层,算力芯片与系统,嵌入式边缘模块,软通动力,301236.SZ,A股上市,北京,天鹤机器人OS、智能边缘,约150亿,IT服务+机器人OS,2025-12-07
基础层,先进传感器,高分辨率3D视觉,奥比中光,688322.SH,A股上市,深圳,3D结构光、ToF、双目传感器,约100亿,3D视觉龙头,2025-12-07
基础层,先进传感器,高分辨率3D视觉,周博科技,,未上市,深圳,高分辨率相机模组,未披露,机器视觉传感器,2025-12-07
基础层,先进传感器,六维力/力矩传感,柯力传感,603662.SH,A股上市,宁波,六维力矩传感器、称重传感器,约100亿,力传感器龙头,2025-12-07
基础层,先进传感器,六维力/力矩传感,汉威科技,300007.SZ,A股上市,郑州,力矩传感器、气体传感器,约50亿,传感器平台型企业,2025-12-07
基础层,先进传感器,触觉电子皮肤,蓝点触控,,未上市,深圳,柔性触觉传感器、电子皮肤,未披露,触觉传感新锐,2025-12-07
基础层,先进传感器,触觉电子皮肤,帕西尼感知,,未上市,北京,电子皮肤、柔性触觉传感,未披露,触觉传感,2025-12-07
基础层,先进传感器,激光雷达,禾赛科技,HSAI,美股上市,上海,激光雷达,约20亿美元,激光雷达龙头,2025-12-07
基础层,先进传感器,激光雷达,速腾聚创,2498.HK,港股上市,深圳,激光雷达、SLAM方案,约100亿港元,激光雷达,2025-12-07
基础层,先进传感器,惯性测量IMU,敏芯股份,688286.SH,A股上市,苏州,MEMS麦克风、IMU、压力传感器,约50亿,MEMS传感器,2025-12-07
基础层,精密执行器,高功率密度电机,步科股份,688160.SH,A股上市,深圳,M3系列伺服电机、驱动器,约50亿,伺服电机,2025-12-07
基础层,精密执行器,高功率密度电机,宇树科技,,未上市,杭州,自研高功率密度电机、电驱关节,约80亿,人形机器人整机+电机自研,2025-12-07
基础层,精密执行器,高功率密度电机,汇川技术,300124.SZ,A股上市,深圳,伺服系统、变频器,约2000亿,运动控制龙头,2025-12-07
基础层,精密执行器,高功率密度电机,鸣志电器,603728.SH,A股上市,上海,空心杯电机、直线电机,约80亿,精密电机,2025-12-07
基础层,精密执行器,精密谐波减速器,绿的谐波,688017.SH,A股上市,苏州,谐波减速器、机电一体执行器,约200亿,谐波减速器龙头,2025-12-07
基础层,精密执行器,精密谐波减速器,来福谐波,,未上市,苏州,谐波减速器,未披露,谐波减速器,2025-12-07
基础层,精密执行器,RV减速器,双环传动,002472.SZ,A股上市,浙江,RV减速器、精密齿轮,约150亿,RV减速器龙头,2025-12-07
基础层,精密执行器,RV减速器,中大力德,002896.SZ,A股上市,宁波,RV减速器、行星减速器,约50亿,精密减速器,2025-12-07
基础层,精密执行器,一体化关节模组,智元机器人,,未上市,上海,Powerflow一体化关节,约70亿,人形机器人+关节自研,2025-12-07
基础层,精密执行器,一体化关节模组,傅利叶智能,,未上市,上海,GR系列一体化关节模组,约40亿,人形机器人+关节自研,2025-12-07
基础层,精密执行器,滚珠/滚柱丝杠,鼎智科技,873593.BJ,北交所上市,常州,行星滚柱丝杠、线性驱动器,约20亿,丝杠国产替代,2025-12-07
基础层,精密执行器,滚珠/滚柱丝杠,贝斯特,300580.SZ,A股上市,苏州,滚珠丝杠、精密传动,约80亿,精密传动,2025-12-07
基础层,机构与新材料,轻量高强度结构,速显微,,未上市,深圳,轻量化结构件,未披露,轻量化材料,2025-12-07
基础层,机构与新材料,轻量高强度结构,铂尔瑞,,未上市,深圳,高强度轻量结构件,未披露,轻量化材料,2025-12-07
基础层,机构与新材料,柔性顺应性组件,南智尚,,未上市,南京,柔性顺应性组件,未披露,柔性材料,2025-12-07
基础层,机构与新材料,柔性顺应性组件,长纤新材,,未上市,浙江,柔性复合材料,未披露,柔性材料,2025-12-07
