层级,环节分类,细分环节,企业名称,股票代码,上市状态,总部所在地,核心产品/技术,估值/市值,备注,数据更新时间
应用层,本体制造,人形/类人机器人,智元机器人,,未上市,上海,远征A1/A2人形机器人,约70亿,全栈自研,2025-12-07
应用层,本体制造,人形/类人机器人,优必选,9880.HK,港股上市,深圳,Walker系列人形机器人,约80亿港元,人形机器人龙头,2025-12-07
应用层,本体制造,人形/类人机器人,傅利叶智能,,未上市,上海,GR-1/GR-2通用人形机器人,约40亿,康复+通用,2025-12-07
应用层,本体制造,人形/类人机器人,宇树科技,,未上市,杭州,G1/H1人形机器人,约80亿,电驱技术领先,2025-12-07
应用层,本体制造,人形/类人机器人,开普勒机器人,,未上市,上海,先行者系列人形机器人,未披露,丝杠技术,2025-12-07
应用层,本体制造,人形/类人机器人,星动纪元,,未上市,北京,小星人形机器人,约10亿,清华系,2025-12-07
应用层,本体制造,人形/类人机器人,逐际动力,,未上市,深圳,CL-1人形机器人,未披露,强化学习,2025-12-07
应用层,本体制造,人形/类人机器人,小米机器人,1810.HK,港股上市,北京,CyberOne铁大,约5000亿港元,消费电子巨头,2025-12-07
应用层,本体制造,人形/类人机器人,达闼科技,,未上市,上海,Cloud Ginger云端机器人,约30亿美元,云端智能,2025-12-07
应用层,本体制造,人形/类人机器人,特斯拉,TSLA,美股上市,美国,Optimus Gen2,约1万亿美元,FSD技术迁移,2025-12-07
应用层,本体制造,人形/类人机器人,Figure AI,,未上市,美国,Figure 01/02,约26亿美元,OpenAI投资,2025-12-07
应用层,本体制造,人形/类人机器人,波士顿动力,,未上市(现代),美国,Atlas人形机器人,约11亿美元,动态平衡先驱,2025-12-07
应用层,本体制造,自主移动AMR,新松机器人,300024.SZ,A股上市,沈阳,AGV/AMR、洁净机器人,约200亿,工业机器人龙头,2025-12-07
应用层,本体制造,自主移动AMR,海康机器人,,分拆上市中,杭州,潜伏式AGV、AMR,约200亿,视觉+移动机器人,2025-12-07
应用层,本体制造,自主移动AMR,优艾智合,,未上市,深圳,工业移动机器人,未披露,半导体物流,2025-12-07
应用层,本体制造,自主移动AMR,斯坦德机器人,,未上市,深圳,激光SLAM AMR,未披露,工厂物流,2025-12-07
应用层,本体制造,自主移动AMR,极智嘉,,未上市,北京,仓储AMR系统,约30亿美元,仓储物流龙头,2025-12-07
应用层,本体制造,自主移动AMR,快仓智能,,未上市,上海,智能仓储机器人,约10亿美元,货到人系统,2025-12-07
应用层,本体制造,智能无人载具,大疆,,未上市,深圳,无人机、农业机器人,约1600亿,无人机龙头,2025-12-07
应用层,本体制造,智能无人载具,普渡机器人,,未上市,深圳,配送机器人,约10亿美元,商用服务机器人,2025-12-07
应用层,本体制造,智能无人载具,云深处科技,,未上市,杭州,绝影四足机器人,未披露,四足机器人,2025-12-07
应用层,本体制造,智能无人载具,九号公司,689009.SH,A股上市,北京,配送机器人、割草机器人,约300亿,短交通+机器人,2025-12-07
应用层,本体制造,特种异构机器人,魔方法子,,未上市,深圳,MagicDog Y1特种机器人,未披露,异构机器人,2025-12-07
应用层,本体制造,特种异构机器人,镜识科技,,未上市,深圳,特种服务机器人,未披露,异构机器人,2025-12-07
应用层,行业方案,智慧仓储物流,杭叉集团,603298.SH,A股上市,杭州,智能叉车、仓储方案,约200亿,叉车龙头,2025-12-07
应用层,行业方案,智慧仓储物流,节卡机器人,,IPO申报中,上海,协作机器人物流方案,约50亿,协作机器人,2025-12-07
应用层,行业方案,智慧仓储物流,海康机器人,,分拆上市中,杭州,智能仓储整体方案,约200亿,仓储方案,2025-12-07
应用层,行业方案,工业柔性装配,智平方,,未上市,深圳,爱宝柔性装配机器人,未披露,柔性装配,2025-12-07
应用层,行业方案,工业柔性装配,优必选,9880.HK,港股上市,深圳,工业版Walker,约80亿港元,工业场景,2025-12-07
应用层,行业方案,安防巡检,软通动力,301236.SZ,A股上市,北京,天鹤安防巡检方案,约150亿,安防方案,2025-12-07
应用层,行业方案,安防巡检,云深处科技,,未上市,杭州,绝影巡检方案,未披露,四足巡检,2025-12-07
应用层,集成定制,产线工艺集成,群核科技,,未上市,杭州,SpatialTwin产线集成,未披露,数字孪生集成,2025-12-07
应用层,集成定制,产线工艺集成,均普智能,688306.SH,A股上市,宁波,智能产线集成,约30亿,智元合作方,2025-12-07
应用层,集成定制,特定场景定制,银河通用,,未上市,北京,无人药店方案,未披露,零售场景,2025-12-07
应用层,集成定制,特定场景定制,智元机器人,,未上市,上海,商超导览定制,约70亿,商业场景,2025-12-07
应用层,集成定制,软硬件一体部署,智元机器人,,未上市,上海,全栈闭环部署,约70亿,全栈自研,2025-12-07
应用层,集成定制,软硬件一体部署,优必选,9880.HK,港股上市,深圳,Walker系列一体部署,约80亿港元,全栈方案,2025-12-07
应用层,运营服务,OTA升级迭代,智元机器人,,未上市,上海,启元大模型GO-1 OTA,约70亿,大模型OTA,2025-12-07
应用层,运营服务,OTA升级迭代,特斯拉,TSLA,美股上市,美国,Optimus OTA升级,约1万亿美元,OTA生态,2025-12-07
应用层,本体制造,工业/协作机器人,埃斯顿,002747.SZ,A股上市,南京,六轴工业机器人,约150亿,工业机器人龙头,2025-12-07
应用层,本体制造,工业/协作机器人,埃夫特,688165.SH,A股上市,芜湖,喷涂机器人,约80亿,喷涂专家,2025-12-07
应用层,本体制造,工业/协作机器人,拓斯达,300607.SZ,A股上市,东莞,注塑机器人,约100亿,注塑自动化,2025-12-07
应用层,本体制造,工业/协作机器人,节卡机器人,,IPO申报中,上海,力控协作机器人,约50亿,协作机器人,2025-12-07
