层级,环节分类,细分环节,企业名称,股票代码,上市状态,总部所在地,核心产品/技术,估值/市值,备注,数据更新时间
支撑层,仿真训练平台,高保真物理引擎,群核科技,,未上市,杭州,SpatialTwin物理仿真,未披露,空间智能仿真,2025-12-07
支撑层,仿真训练平台,高保真物理引擎,华如科技,301302.SZ,A股上市,北京,仿真训练平台,约30亿,军工仿真,2025-12-07
支撑层,仿真训练平台,高保真物理引擎,智元机器人,,未上市,上海,AgiBot Digital World,约70亿,自研仿真平台,2025-12-07
支撑层,仿真训练平台,大规模环境模拟,天娱数科,002354.SZ,A股上市,深圳,大模型一体机、环境模拟,约50亿,元宇宙仿真,2025-12-07
支撑层,仿真训练平台,大规模环境模拟,阿尔特,300825.SZ,A股上市,北京,Omniverse合作、汽车仿真,约50亿,汽车仿真延伸,2025-12-07
支撑层,仿真训练平台,Sim2Real迁移,智平方,,未上市,深圳,RoboMamba Sim2Real,未披露,仿真到现实迁移,2025-12-07
支撑层,仿真训练平台,Sim2Real迁移,星动纪元,,未上市,北京,ERA-42 Sim2Real,约10亿,仿真到现实迁移,2025-12-07
支撑层,仿真训练平台,Isaac Sim生态,英伟达,NVDA,美股上市,美国,Isaac Sim、Omniverse,约3万亿美元,仿真平台龙头,2025-12-07
支撑层,系统与中间件,专用具身OS,中科创达,300496.SZ,A股上市,北京,TurboX机器人OS,约300亿,操作系统龙头,2025-12-07
支撑层,系统与中间件,专用具身OS,智元机器人,,未上市,上海,AIMRT机器人中间件,约70亿,自研中间件,2025-12-07
支撑层,系统与中间件,专用具身OS,软通动力,301236.SZ,A股上市,北京,天鹤机器人OS,约150亿,机器人OS,2025-12-07
支撑层,系统与中间件,异构资源调度,群核科技,,未上市,杭州,SpatialTwin资源调度,未披露,异构调度,2025-12-07
支撑层,系统与中间件,异构资源调度,天娱数科,002354.SZ,A股上市,深圳,云边端算力调度,约50亿,算力调度,2025-12-07
支撑层,开发工具链,机器人框架ROS2适配,智元机器人,,未上市,上海,ROS2企业级适配,约70亿,ROS2生态,2025-12-07
支撑层,开发工具链,机器人框架ROS2适配,优必选,9880.HK,港股上市,深圳,ROS2企业级适配,约80亿港元,ROS2生态,2025-12-07
支撑层,开发工具链,标准接口协议,新松机器人,300024.SZ,A股上市,沈阳,工业机器人接口协议,约200亿,工业机器人龙头,2025-12-07
支撑层,开发工具链,标准接口协议,海康机器人,,分拆上市中,杭州,机器视觉接口协议,约200亿,机器视觉龙头,2025-12-07
支撑层,数据体系,多模态真实数据,37度数据,,未上市,北京,多模态数据采集标注,未披露,数据服务,2025-12-07
支撑层,数据体系,多模态真实数据,度量科技,,未上市,北京,机器人数据采集,未披露,数据服务,2025-12-07
支撑层,数据体系,高质量合成数据,智元机器人,,未上市,上海,AgiBot Dataset,约70亿,自研数据集,2025-12-07
支撑层,数据体系,高质量合成数据,宇树科技,,未上市,杭州,运动数据合成,约80亿,运动数据,2025-12-07
