层级,环节分类,细分环节,企业名称,股票代码,上市状态,总部所在地,核心产品/技术,估值/市值,备注,数据更新时间
框架层,通用认知模型,大语言模型LLM,科大讯飞,002230.SZ,A股上市,合肥,讯飞星火大模型,约800亿,语音+大模型,2025-12-07
框架层,通用认知模型,大语言模型LLM,智元机器人,,未上市,上海,启元大模型GO-1,约70亿,具身智能大模型,2025-12-07
框架层,通用认知模型,大语言模型LLM,百度,9888.HK,港股/美股,北京,文心大模型,约3000亿港元,大模型龙头,2025-12-07
框架层,通用认知模型,大视觉模型LVM,智平方,,未上市,深圳,GOVLA视觉大模型,未披露,具身视觉大模型,2025-12-07
框架层,通用认知模型,大视觉模型LVM,星动纪元,,未上市,北京,ERA-42多模态大模型,约10亿,清华系具身智能,2025-12-07
框架层,通用认知模型,多模态大模型,银河通用,,未上市,北京,GraspVLA抓取大模型,未披露,具身多模态,2025-12-07
框架层,通用认知模型,多模态大模型,跨维智能,,未上市,北京,SAM-6D多模态模型,未披露,具身多模态,2025-12-07
框架层,通用认知模型,多模态大模型,商汤科技,0020.HK,港股上市,上海,日日新大模型,约400亿港元,AI大模型,2025-12-07
框架层,具身控制模型,感知决策控制一体,智平方,,未上市,深圳,全域全身控制VLA,未披露,端到端控制,2025-12-07
框架层,具身控制模型,感知决策控制一体,小鹏汽车,9868.HK,港股/美股,广州,端到端VLA、FSD迁移,约500亿港元,自动驾驶迁移机器人,2025-12-07
框架层,具身控制模型,感知决策控制一体,特斯拉,TSLA,美股上市,美国,FSD端到端大模型,约1万亿美元,Optimus人形机器人,2025-12-07
框架层,具身控制模型,模仿与强化学习,傅利叶智能,,未上市,上海,GR-3全感交互控制,约40亿,人形机器人,2025-12-07
框架层,具身控制模型,模仿与强化学习,宇树科技,,未上市,杭州,强化学习运动控制,约80亿,四足/人形机器人,2025-12-07
框架层,具身控制模型,跨形态通用策略,优艾智合,,未上市,深圳,一脑多态通用控制,未披露,移动机器人,2025-12-07
框架层,具身控制模型,跨形态通用策略,天娱数科,002354.SZ,A股上市,深圳,跨本体互通控制,约50亿,元宇宙+机器人,2025-12-07
框架层,世界模型,环境内部建模,群核科技,,未上市,杭州,SpatialTwin空间智能,未披露,3D空间建模,2025-12-07
框架层,世界模型,环境内部建模,英伟达,NVDA,美股上市,美国,Cosmos世界模型,约3万亿美元,世界模型,2025-12-07
框架层,世界模型,自身运动预测,宇树科技,,未上市,杭州,高动态平衡预测控制,约80亿,运动预测,2025-12-07
框架层,世界模型,自身运动预测,傅利叶智能,,未上市,上海,全感交互运动预测,约40亿,运动预测,2025-12-07
框架层,运动规划与力控,高维路径规划,节卡机器人,,IPO申报中,上海,手眼脚协同路径规划,约50亿,协作机器人,2025-12-07
框架层,运动规划与力控,高维路径规划,优必选,9880.HK,港股上市,深圳,Walker全身运动规划,约80亿港元,人形机器人龙头,2025-12-07
框架层,运动规划与力控,全身动力学平衡,宇树科技,,未上市,杭州,H1全身动力学平衡,约80亿,动态平衡,2025-12-07
框架层,运动规划与力控,全身动力学平衡,特斯拉,TSLA,美股上市,美国,Optimus Gen2动力学控制,约1万亿美元,动态平衡,2025-12-07
框架层,运动规划与力控,高精度力控柔顺,千寻智能,,未上市,深圳,Moz1全力控方案,未披露,力控专家,2025-12-07
框架层,运动规划与力控,高精度力控柔顺,柯力传感,603662.SH,A股上市,宁波,六维力矩传感+力控,约100亿,力传感+控制,2025-12-07
